,name,date,platform,score,url,ratings,userscore
0,Persona 5 Royal,"March 31, 2020",PlayStation 4,95,/game/playstation-4/persona-5-royal,3014,8.4
1,The Last of Us Part II,"June 19, 2020",PlayStation 4,93,/game/playstation-4/the-last-of-us-part-ii,153277,5.7
2,Hades,"September 17, 2020",Switch,93,/game/switch/hades,510,9.0
3,Half-Life: Alyx,"March 23, 2020",PC,93,/game/pc/half-life-alyx,2464,8.7
4,Ori and the Will of the Wisps,"September 17, 2020",Switch,93,/game/switch/ori-and-the-will-of-the-wisps,264,8.8
5,Hades,"September 17, 2020",PC,93,/game/pc/hades,873,8.9
6,Demon's Souls,"November 12, 2020",PlayStation 5,92,/game/playstation-5/demons-souls,2543,7.9
7,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,"December 4, 2020",Xbox One,92,/game/xbox-one/dragon-quest-xi-s-echoes-of-an-elusive-age---definitive-edition,71,8.3
8,Microsoft Flight Simulator,"August 18, 2020",PC,91,/game/pc/microsoft-flight-simulator,1206,7.2
9,Factorio,"August 14, 2020",PC,91,/game/pc/factorio,423,9.1
10,Crusader Kings III,"September 1, 2020",PC,91,/game/pc/crusader-kings-iii,453,8.4
11,F1 2020,"July 10, 2020",Xbox One,91,/game/xbox-one/f1-2020,103,7.3
12,Spelunky 2,"September 29, 2020",PC,91,/game/pc/spelunky-2,123,6.5
13,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,"December 4, 2020",PlayStation 4,91,/game/playstation-4/dragon-quest-xi-s-echoes-of-an-elusive-age---definitive-edition,112,8.1
14,Animal Crossing: New Horizons,"March 20, 2020",Switch,90,/game/switch/animal-crossing-new-horizons,6053,5.5
15,Ori and the Will of the Wisps,"March 11, 2020",Xbox One,90,/game/xbox-one/ori-and-the-will-of-the-wisps,1601,8.8
16,Yakuza 0,"February 26, 2020",Xbox One,90,/game/xbox-one/yakuza-0,188,8.0
17,Yakuza: Like a Dragon,"November 10, 2020",Xbox One,89,/game/xbox-one/yakuza-like-a-dragon,82,8.7
18,Xenoblade Chronicles: Definitive Edition,"May 29, 2020",Switch,89,/game/switch/xenoblade-chronicles-definitive-edition,976,8.9
19,There is no game : Wrong dimension,"August 6, 2020",PC,89,/game/pc/there-is-no-game-wrong-dimension,91,8.9
20,Dreams,"February 14, 2020",PlayStation 4,89,/game/playstation-4/dreams,1374,8.7
21,Tony Hawk's Pro Skater 1 + 2,"September 4, 2020",PlayStation 4,89,/game/playstation-4/tony-hawks-pro-skater-1-+-2,496,8.8
22,Devil May Cry 5: Special Edition,"November 12, 2020",PlayStation 5,88,/game/playstation-5/devil-may-cry-5-special-edition,162,8.3
23,A Short Hike,"August 18, 2020",Switch,88,/game/switch/a-short-hike,115,8.7
24,Tetris Effect: Connected,"November 10, 2020",Xbox Series X,88,/game/xbox-series-x/tetris-effect-connected,60,7.5
25,Tony Hawk's Pro Skater 1 + 2,"September 4, 2020",PC,88,/game/pc/tony-hawks-pro-skater-1-+-2,92,7.2
26,Ori and the Will of the Wisps,"March 11, 2020",PC,88,/game/pc/ori-and-the-will-of-the-wisps,1008,8.7
27,DOOM Eternal,"March 19, 2020",Xbox One,88,/game/xbox-one/doom-eternal,1689,9.0
28,Tony Hawk's Pro Skater 1 + 2,"September 4, 2020",Xbox One,88,/game/xbox-one/tony-hawks-pro-skater-1-+-2,74,7.8
29,Halo: The Master Chief Collection - Halo 3,"July 14, 2020",PC,88,/game/pc/halo-the-master-chief-collection---halo-3,215,7.9
30,F1 2020,"July 9, 2020",PC,88,/game/pc/f1-2020,80,7.1
31,Mortal Kombat 11 Ultimate,"November 17, 2020",PlayStation 5,88,/game/playstation-5/mortal-kombat-11-ultimate,95,7.7
32,DOOM Eternal,"March 20, 2020",PC,88,/game/pc/doom-eternal,4284,8.7
33,Pistol Whip,"July 30, 2020",PlayStation 4,88,/game/playstation-4/pistol-whip,42,7.0
34,Kentucky Route Zero: TV Edition,"January 28, 2020",PlayStation 4,88,/game/playstation-4/kentucky-route-zero-tv-edition,73,6.2
35,Final Fantasy VII Remake,"April 10, 2020",PlayStation 4,87,/game/playstation-4/final-fantasy-vii-remake,6983,8.1
36,Legends of Runeterra,"April 29, 2020",PC,87,/game/pc/legends-of-runeterra,138,6.9
37,Kentucky Route Zero: TV Edition,"January 28, 2020",Switch,87,/game/switch/kentucky-route-zero-tv-edition,68,7.3
38,Super Mega Baseball 3,"May 13, 2020",Switch,87,/game/switch/super-mega-baseball-3,28,7.8
39,Kentucky Route Zero: TV Edition,"January 28, 2020",Xbox One,87,/game/xbox-one/kentucky-route-zero-tv-edition,21,6.1
40,DOOM Eternal,"March 20, 2020",PlayStation 4,87,/game/playstation-4/doom-eternal,3122,8.8
41,Grindstone,"December 15, 2020",Switch,87,/game/switch/grindstone,14,8.1
42,Huntdown,"May 12, 2020",Xbox One,87,/game/xbox-one/huntdown,25,5.4
43,Monster Hunter: World - Iceborne,"January 9, 2020",PC,87,/game/pc/monster-hunter-world---iceborne,193,7.8
44,Persona 4 Golden,"June 13, 2020",PC,87,/game/pc/persona-4-golden,780,8.9
45,Streets of Rage 4,"April 30, 2020",Switch,87,/game/switch/streets-of-rage-4,151,8.5
46,Spelunky 2,"September 15, 2020",PlayStation 4,87,/game/playstation-4/spelunky-2,66,8.2
47,F1 2020,"July 6, 2020",PlayStation 4,86,/game/playstation-4/f1-2020,176,7.7
48,Death Stranding,"July 14, 2020",PC,86,/game/pc/death-stranding,1640,7.7
49,Observer: System Redux,"November 10, 2020",PC,86,/game/pc/observer-system-redux,26,7.4
50,Panzer Corps 2,"March 19, 2020",PC,86,/game/pc/panzer-corps-2,38,5.8
51,Cuphead,"July 28, 2020",PlayStation 4,86,/game/playstation-4/cuphead,225,8.2
52,Desperados III,"June 16, 2020",PC,86,/game/pc/desperados-iii,603,8.2
53,Monster Train,"May 21, 2020",PC,86,/game/pc/monster-train,45,8.3
54,Huntdown,"May 12, 2020",Switch,86,/game/switch/huntdown,55,8.4
55,Risk of Rain 2,"August 11, 2020",PC,85,/game/pc/risk-of-rain-2,143,8.1
56,Cyberpunk 2077,"December 10, 2020",PC,85,/game/pc/cyberpunk-2077,29274,7.1
57,Deep Rock Galactic,"May 13, 2020",PC,85,/game/pc/deep-rock-galactic,178,8.1
58,Wasteland 3,"August 28, 2020",PC,85,/game/pc/wasteland-3,407,7.6
59,13 Sentinels: Aegis Rim,"September 22, 2020",PlayStation 4,85,/game/playstation-4/13-sentinels-aegis-rim,216,9.0
60,Bug Fables: The Everlasting Sapling,"May 28, 2020",Switch,85,/game/switch/bug-fables-the-everlasting-sapling,96,8.3
61,Marvel's Spider-Man: Miles Morales,"November 12, 2020",PlayStation 5,85,/game/playstation-5/marvels-spider-man-miles-morales,1250,7.4
62,Huntdown,"May 12, 2020",PC,85,/game/pc/huntdown,50,7.6
63,Warframe,"November 26, 2020",PlayStation 5,85,/game/playstation-5/warframe,5,7.2
64,Planet Coaster: Console Edition,"November 10, 2020",Xbox One,85,/game/xbox-one/planet-coaster-console-edition,12,7.6
65,Nioh 2,"March 13, 2020",PlayStation 4,85,/game/playstation-4/nioh-2,951,7.9
66,Bayonetta & Vanquish,"February 18, 2020",PlayStation 4,85,/game/playstation-4/bayonetta-vanquish,254,8.0
67,Two Point Hospital,"February 25, 2020",Switch,85,/game/switch/two-point-hospital,63,8.1
68,Pikmin 3 Deluxe,"October 30, 2020",Switch,85,/game/switch/pikmin-3-deluxe,137,8.4
69,Football Manager 2021,"November 24, 2020",PC,85,/game/pc/football-manager-2021,56,6.3
70,Heroes of Hammerwatch - Ultimate Edition,"July 29, 2020",Switch,85,/game/switch/heroes-of-hammerwatch---ultimate-edition,10,7.3
71,Manifold Garden,"October 20, 2020",PC,85,/game/pc/manifold-garden,47,7.4
72,Desperados III,"June 16, 2020",Xbox One,85,/game/xbox-one/desperados-iii,44,7.1
73,Crash Bandicoot 4: It's About Time,"October 2, 2020",PlayStation 4,85,/game/playstation-4/crash-bandicoot-4-its-about-time,633,8.1
74,Assassin's Creed Valhalla,"November 12, 2020",PlayStation 5,84,/game/playstation-5/assassins-creed-valhalla,1003,8.0
75,Devil May Cry 5: Special Edition,"November 10, 2020",Xbox Series X,84,/game/xbox-series-x/devil-may-cry-5-special-edition,51,7.4
76,Lonely Mountains: Downhill,"May 7, 2020",Switch,84,/game/switch/lonely-mountains-downhill,47,7.4
77,Thronebreaker: The Witcher Tales,"January 28, 2020",Switch,84,/game/switch/thronebreaker-the-witcher-tales,72,7.7
78,If Found...,"May 19, 2020",PC,84,/game/pc/if-found,21,6.7
79,Wasteland 3,"August 28, 2020",Xbox One,84,/game/xbox-one/wasteland-3,136,7.7
80,Planet Coaster: Console Edition,"November 10, 2020",Xbox Series X,84,/game/xbox-series-x/planet-coaster-console-edition,14,4.7
81,WHAT THE GOLF?,"May 21, 2020",Switch,84,/game/switch/what-the-golf,44,8.2
82,Assassin's Creed Valhalla,"November 10, 2020",Xbox Series X,84,/game/xbox-series-x/assassins-creed-valhalla,883,7.9
83,Overcooked! All You Can Eat,"November 12, 2020",PlayStation 5,84,/game/playstation-5/overcooked!-all-you-can-eat,11,6.3
84,Yakuza: Like a Dragon,"November 10, 2020",PlayStation 4,84,/game/playstation-4/yakuza-like-a-dragon,297,7.9
85,Horizon Zero Dawn: Complete Edition,"August 7, 2020",PC,84,/game/pc/horizon-zero-dawn-complete-edition,682,6.2
86,Streets of Rage 4,"April 30, 2020",PC,84,/game/pc/streets-of-rage-4,312,7.8
87,BioShock: The Collection,"May 29, 2020",Switch,84,/game/switch/bioshock-the-collection,117,8.6
88,Two Point Hospital,"February 25, 2020",Xbox One,84,/game/xbox-one/two-point-hospital,38,6.5
89,Lair of the Clockwork God,"February 21, 2020",PC,84,/game/pc/lair-of-the-clockwork-god,27,7.6
90,Marvel's Spider-Man: Miles Morales,"November 12, 2020",PlayStation 4,84,/game/playstation-4/marvels-spider-man-miles-morales,588,7.6
91,Spiritfarer,"August 18, 2020",PC,84,/game/pc/spiritfarer,113,7.9
92,Sega Ages: Fantasy Zone,"January 23, 2020",Switch,84,/game/switch/sega-ages-fantasy-zone,12,7.9
93,To the Moon,"January 16, 2020",Switch,84,/game/switch/to-the-moon,50,8.2
94,The Legend of Heroes: Trails of Cold Steel III,"June 30, 2020",Switch,84,/game/switch/the-legend-of-heroes-trails-of-cold-steel-iii,36,8.1
95,Resident Evil 3,"April 3, 2020",Xbox One,84,/game/xbox-one/resident-evil-3,583,6.1
96,Genshin Impact,"September 28, 2020",PC,84,/game/pc/genshin-impact,1383,5.5
97,Ghost of Tsushima,"July 17, 2020",PlayStation 4,83,/game/playstation-4/ghost-of-tsushima,19005,9.2
98,Astro's Playroom,"November 12, 2020",PlayStation 5,83,/game/playstation-5/astros-playroom,796,9.3
99,Bayonetta & Vanquish,"February 18, 2020",Xbox One,83,/game/xbox-one/bayonetta-vanquish,107,8.0
100,Yakuza: Like a Dragon,"November 10, 2020",Xbox Series X,83,/game/xbox-series-x/yakuza-like-a-dragon,98,8.0
101,Crash Bandicoot 4: It's About Time,"October 2, 2020",Xbox One,83,/game/xbox-one/crash-bandicoot-4-its-about-time,98,8.3
102,MLB The Show 20,"March 13, 2020",PlayStation 4,83,/game/playstation-4/mlb-the-show-20,165,6.6
103,Sackboy: A Big Adventure,"November 12, 2020",PlayStation 4,83,/game/playstation-4/sackboy-a-big-adventure,84,8.4
104,DIRT 5,"November 3, 2020",Xbox One,83,/game/xbox-one/dirt-5,49,5.8
105,Knights and Bikes,"February 6, 2020",Switch,83,/game/switch/knights-and-bikes,12,8.3
106,Mega Man Zero / ZX Legacy Collection,"February 25, 2020",Switch,83,/game/switch/mega-man-zero-zx-legacy-collection,108,8.5
107,Sam & Max Save the World Remastered,"December 2, 2020",PC,83,/game/pc/sam-max-save-the-world-remastered,26,4.1
108,Yakuza: Like a Dragon,"November 10, 2020",PC,83,/game/pc/yakuza-like-a-dragon,93,7.9
109,Creaks,"July 22, 2020",PlayStation 4,83,/game/playstation-4/creaks,13,7.1
110,Super Mega Baseball 3,"May 13, 2020",Xbox One,83,/game/xbox-one/super-mega-baseball-3,10,6.6
111,World of Warcraft: Shadowlands,"November 23, 2020",PC,83,/game/pc/world-of-warcraft-shadowlands,1177,5.2
112,WRC 9 FIA World Rally Championship,"September 4, 2020",Xbox One,83,/game/xbox-one/wrc-9-fia-world-rally-championship,13,5.7
113,Disc Room,"October 22, 2020",PC,83,/game/pc/disc-room,11,7.5
114,Chicken Police - Paint it RED!,"November 5, 2020",Switch,83,/game/switch/chicken-police---paint-it-red!,0,tbd
115,Sega Ages: Sonic the Hedgehog 2,"February 20, 2020",Switch,83,/game/switch/sega-ages-sonic-the-hedgehog-2,10,8.0
116,Tales From Off-Peak City Vol. 1,"May 15, 2020",PC,83,/game/pc/tales-from-off-peak-city-vol-1,9,8.1
117,The Last Campfire,"August 27, 2020",Switch,83,/game/switch/the-last-campfire,32,7.8
118,Code:Realize - Guardian of Rebirth,"February 6, 2020",Switch,83,/game/switch/coderealize---guardian-of-rebirth,15,6.8
119,Command & Conquer Remastered Collection,"June 5, 2020",PC,82,/game/pc/command-conquer-remastered-collection,267,8.7
120,Freedom Finger,"March 24, 2020",PlayStation 4,82,/game/playstation-4/freedom-finger,42,7.6
121,Street Fighter V: Champion Edition,"February 14, 2020",PlayStation 4,82,/game/playstation-4/street-fighter-v-champion-edition,123,5.9
122,Streets of Rage 4,"April 30, 2020",Xbox One,82,/game/xbox-one/streets-of-rage-4,157,7.9
123,Katamari Damacy REROLL,"November 20, 2020",PlayStation 4,82,/game/playstation-4/katamari-damacy-reroll,14,6.6
124,Gears Tactics,"November 10, 2020",Xbox Series X,82,/game/xbox-series-x/gears-tactics,71,7.3
125,Yakuza 5 Remastered,"February 11, 2020",PlayStation 4,82,/game/playstation-4/yakuza-5-remastered,72,7.8
126,Spiritfarer,"August 18, 2020",Switch,82,/game/switch/spiritfarer,54,8.2
127,SnowRunner,"April 28, 2020",PC,82,/game/pc/snowrunner,141,6.7
128,SUPERHOT: MIND CONTROL DELETE,"July 16, 2020",Xbox One,82,/game/xbox-one/superhot-mind-control-delete,16,5.4
129,CrossCode,"July 9, 2020",Switch,82,/game/switch/crosscode,50,8.0
130,Batbarian: Testament of the Primordials,"October 15, 2020",PC,82,/game/pc/batbarian-testament-of-the-primordials,8,8.5
131,Ruiner,"June 18, 2020",Switch,82,/game/switch/ruiner,11,8.3
132,One Step From Eden,"March 26, 2020",PC,82,/game/pc/one-step-from-eden,49,8.8
133,Desperados III,"June 16, 2020",PlayStation 4,82,/game/playstation-4/desperados-iii,161,7.7
134,Super Mario 3D All-Stars,"September 18, 2020",Switch,82,/game/switch/super-mario-3d-all-stars,669,6.3
135,Assassin's Creed Valhalla,"November 10, 2020",PC,82,/game/pc/assassins-creed-valhalla,2161,7.5
136,Chicken Police - Paint it RED!,"November 5, 2020",PC,82,/game/pc/chicken-police---paint-it-red!,33,7.7
137,Bloodstained: Curse of the Moon 2,"July 10, 2020",Switch,82,/game/switch/bloodstained-curse-of-the-moon-2,31,8.4
138,Assassin's Creed Valhalla,"November 10, 2020",Xbox One,82,/game/xbox-one/assassins-creed-valhalla,456,7.3
139,Huntdown,"May 12, 2020",PlayStation 4,82,/game/playstation-4/huntdown,54,7.5
