,name,date,platform,score,url,ratings,reviews,userscore
0,Hades,"August 13, 2021",Xbox Series X,93,/game/xbox-series-x/hades,114,18,8.5
1,Hades,"August 13, 2021",PlayStation 5,93,/game/playstation-5/hades,123,29,8.3
2,Psychonauts 2,"August 25, 2021",Xbox One,91,/game/xbox-one/psychonauts-2,190,8,4.9
3,Microsoft Flight Simulator,"July 27, 2021",Xbox Series X,90,/game/xbox-series-x/microsoft-flight-simulator,399,33,8.1
4,Chicory: A Colorful Tale,"June 10, 2021",PC,89,/game/pc/chicory-a-colorful-tale,40,21,7.6
5,Final Fantasy VII Remake Intergrade,"June 10, 2021",PlayStation 5,89,/game/playstation-5/final-fantasy-vii-remake-intergrade,276,56,8.5
6,Synth Riders,"August 10, 2021",PlayStation 4,89,/game/playstation-4/synth-riders,0,8,tbd
7,Psychonauts 2,"August 25, 2021",PC,89,/game/pc/psychonauts-2,526,33,5.7
8,Streets of Rage 4: Mr. X Nightmare,"July 15, 2021",PC,88,/game/pc/streets-of-rage-4-mr-x-nightmare,11,11,7.5
9,Ratchet & Clank: Rift Apart,"June 11, 2021",PlayStation 5,88,/game/playstation-5/ratchet-clank-rift-apart,1408,124,8.7
10,Wildermyth,"June 15, 2021",PC,88,/game/pc/wildermyth,48,16,8.0
11,Ghost of Tsushima: Director's Cut,"August 20, 2021",PlayStation 5,88,/game/playstation-5/ghost-of-tsushima-directors-cut,1065,62,6.6
12,F1 2021,"July 13, 2021",Xbox Series X,88,/game/xbox-series-x/f1-2021,20,15,5.6
13,Death's Door,"July 20, 2021",Xbox One,87,/game/xbox-one/deaths-door,36,8,6.8
14,Guilty Gear -Strive-,"June 8, 2021",PlayStation 5,87,/game/playstation-5/guilty-gear--strive-,64,51,7.9
15,Psychonauts 2,"August 25, 2021",Xbox Series X,87,/game/xbox-series-x/psychonauts-2,1170,57,7.3
16,Death's Door,"July 20, 2021",Xbox Series X,87,/game/xbox-series-x/deaths-door,119,29,8.1
17,Chicory: A Colorful Tale,"June 10, 2021",PlayStation 5,87,/game/playstation-5/chicory-a-colorful-tale,20,20,6.4
18,The Great Ace Attorney Chronicles,"July 27, 2021",Switch,86,/game/switch/the-great-ace-attorney-chronicles,168,43,6.9
19,The Forgotten City,"July 28, 2021",Xbox Series X,86,/game/xbox-series-x/the-forgotten-city,15,9,8.0
20,F1 2021,"July 16, 2021",PC,86,/game/pc/f1-2021,32,28,2.8
21,The Forgotten City,"July 28, 2021",PC,86,/game/pc/the-forgotten-city,41,28,8.0
22,ENDER LILIES: Quietus of the Knights,"June 22, 2021",PC,85,/game/pc/ender-lilies-quietus-of-the-knights,56,24,8.3
23,Death's Door,"July 20, 2021",PC,85,/game/pc/deaths-door,108,50,7.6
24,Fuga: Melodies of Steel,"July 29, 2021",PC,85,/game/pc/fuga-melodies-of-steel,20,12,8.1
25,Doki Doki Literature Club Plus!,"June 30, 2021",Switch,85,/game/switch/doki-doki-literature-club-plus!,28,12,8.3
26,Guilty Gear -Strive-,"June 11, 2021",PC,85,/game/pc/guilty-gear--strive-,41,10,8.0
27,F1 2021,"July 13, 2021",PlayStation 5,85,/game/playstation-5/f1-2021,41,28,5.7
28,Tony Hawk's Pro Skater 1 + 2,"June 25, 2021",Switch,85,/game/switch/tony-hawks-pro-skater-1-+-2,24,27,8.2
29,Mushihimesama,"June 15, 2021",Switch,84,/game/switch/mushihimesama,0,13,tbd
30,Guilty Gear -Strive-,"June 8, 2021",PlayStation 4,84,/game/playstation-4/guilty-gear--strive-,40,20,7.9
31,ENDER LILIES: Quietus of the Knights,"June 22, 2021",Switch,84,/game/switch/ender-lilies-quietus-of-the-knights,34,15,8.2
32,The Forgotten City,"July 28, 2021",PlayStation 5,84,/game/playstation-5/the-forgotten-city,17,14,7.4
33,Mini Motorways,"July 20, 2021",PC,83,/game/pc/mini-motorways,6,12,7.5
34,Metro Exodus: Complete Edition,"June 18, 2021",PlayStation 5,83,/game/playstation-5/metro-exodus-complete-edition,37,10,7.3
35,GRIME,"August 2, 2021",PC,83,/game/pc/grime,44,23,7.8
36,Chivalry 2,"June 8, 2021",PC,82,/game/pc/chivalry-2,98,34,5.4
37,Shadowverse: Champion's Battle,"August 10, 2021",Switch,82,/game/switch/shadowverse-champions-battle,13,15,7.2
38,The Great Ace Attorney Chronicles,"July 27, 2021",PlayStation 4,82,/game/playstation-4/the-great-ace-attorney-chronicles,104,39,5.7
39,I Expect You To Die 2: The Spy And The Liar,"August 24, 2021",PC,82,/game/pc/i-expect-you-to-die-2-the-spy-and-the-liar,0,7,tbd
40,The Ramp,"August 3, 2021",PC,82,/game/pc/the-ramp,0,8,tbd
41,Sky: Children of the Light,"June 29, 2021",Switch,82,/game/switch/sky-children-of-the-light,17,13,7.2
42,Monster Hunter Stories 2: Wings of Ruin,"July 9, 2021",PC,82,/game/pc/monster-hunter-stories-2-wings-of-ruin,24,21,7.5
43,Doki Doki Literature Club Plus!,"June 30, 2021",PC,82,/game/pc/doki-doki-literature-club-plus!,38,8,8.5
44,Old World,"July 1, 2021",PC,82,/game/pc/old-world,20,8,8.2
45,Umurangi Generation,"June 5, 2021",Switch,81,/game/switch/umurangi-generation,0,13,tbd
46,Final Fantasy VII Remake Intergrade: Episode INTERmission,"June 10, 2021",PlayStation 5,81,/game/playstation-5/final-fantasy-vii-remake-intergrade-episode-intermission,75,24,8.5
47,The Great Ace Attorney Chronicles,"July 27, 2021",PC,81,/game/pc/the-great-ace-attorney-chronicles,100,10,5.9
48,The Legend of Zelda: Skyward Sword HD,"July 16, 2021",Switch,81,/game/switch/the-legend-of-zelda-skyward-sword-hd,298,98,7.0
49,NEO: The World Ends With You,"July 27, 2021",Switch,81,/game/switch/neo-the-world-ends-with-you,75,32,8.5
50,Cotton Reboot!,"July 20, 2021",Switch,81,/game/switch/cotton-reboot!,6,11,7.5
51,Boomerang X,"July 8, 2021",PC,81,/game/pc/boomerang-x,7,23,6.7
52,The Sims 4: Cottage Living,"July 22, 2021",PC,81,/game/pc/the-sims-4-cottage-living,0,11,tbd
53,Astalon: Tears of the Earth,"June 3, 2021",Switch,81,/game/switch/astalon-tears-of-the-earth,12,7,5.3
54,Final Fantasy Pixel Remaster,"July 28, 2021",PC,81,/game/pc/final-fantasy-pixel-remaster,60,10,5.2
55,Chivalry 2,"June 8, 2021",Xbox Series X,81,/game/xbox-series-x/chivalry-2,26,11,6.4
56,The Vale: Shadow of the Crown,"August 19, 2021",PC,81,/game/pc/the-vale-shadow-of-the-crown,0,8,tbd
57,Winds of Change,"June 3, 2021",Switch,81,/game/switch/winds-of-change,13,7,8.2
58,Monster Hunter Stories 2: Wings of Ruin,"July 9, 2021",Switch,81,/game/switch/monster-hunter-stories-2-wings-of-ruin,102,85,8.3
59,Dark Deity,"June 15, 2021",PC,80,/game/pc/dark-deity,6,13,6.5
60,Necrobarista: Final Pour,"August 11, 2021",Switch,80,/game/switch/necrobarista-final-pour,0,9,tbd
61,Blaster Master Zero III,"July 29, 2021",Switch,80,/game/switch/blaster-master-zero-iii,0,7,tbd
62,Eldest Souls,"July 29, 2021",PlayStation 5,80,/game/playstation-5/eldest-souls,5,8,6.0
63,Hell Let Loose,"July 27, 2021",PC,80,/game/pc/hell-let-loose,13,11,7.1
64,NEO: The World Ends With You,"July 27, 2021",PlayStation 4,80,/game/playstation-4/neo-the-world-ends-with-you,69,51,8.5
65,Boomerang X,"July 8, 2021",Switch,80,/game/switch/boomerang-x,4,14,6.3
66,Dreamscaper,"August 5, 2021",PC,80,/game/pc/dreamscaper,0,7,tbd
67,Fuga: Melodies of Steel,"July 29, 2021",Switch,80,/game/switch/fuga-melodies-of-steel,13,7,9.1
68,Samurai Warriors 5,"July 27, 2021",Switch,80,/game/switch/samurai-warriors-5,5,12,7.4
69,Scarlet Nexus,"June 25, 2021",PlayStation 5,80,/game/playstation-5/scarlet-nexus,140,67,8.0
70,Scarlet Nexus,"June 25, 2021",PC,80,/game/pc/scarlet-nexus,72,23,7.8
71,Scarlet Nexus,"June 25, 2021",PlayStation 4,79,/game/playstation-4/scarlet-nexus,56,11,7.9
72,Axiom Verge 2,"August 11, 2021",PC,79,/game/pc/axiom-verge-2,24,12,5.3
73,Space Invaders: Invincible Collection,"August 17, 2021",Switch,79,/game/switch/space-invaders-invincible-collection,0,10,tbd
74,LEGO Builder's Journey,"June 22, 2021",PC,79,/game/pc/lego-builders-journey,11,13,7.1
75,Road 96,"August 16, 2021",PC,79,/game/pc/road-96,46,33,6.8
76,Cris Tales,"July 20, 2021",Xbox Series X,79,/game/xbox-series-x/cris-tales,20,10,7.8
77,Final Fantasy III Pixel Remaster,"July 28, 2021",PC,79,/game/pc/final-fantasy-iii-pixel-remaster,33,9,4.7
78,Humankind,"August 17, 2021",PC,79,/game/pc/humankind,86,45,7.0
79,Jupiter Hell,"August 5, 2021",PC,78,/game/pc/jupiter-hell,13,13,7.9
80,Vesper,"July 30, 2021",PC,78,/game/pc/vesper,11,8,7.5
81,Orcs Must Die! 3,"July 23, 2021",PC,78,/game/pc/orcs-must-die!-3,9,8,6.1
82,Ayo the Clown,"July 28, 2021",Switch,78,/game/switch/ayo-the-clown,4,8,7.8
83,Roguebook,"June 17, 2021",PC,78,/game/pc/roguebook,6,23,5.3
84,Eldest Souls,"July 29, 2021",PC,77,/game/pc/eldest-souls,8,11,7.1
85,Unbound: Worlds Apart,"July 28, 2021",Switch,77,/game/switch/unbound-worlds-apart,7,11,6.9
