,name,date,platform,score,url,ratings,userscore
0,Demon's Souls,"November 12, 2020",PlayStation 5,92,/game/playstation-5/demons-souls,2538,7.9
1,Tony Hawk's Pro Skater 1 + 2,"March 26, 2021",PlayStation 5,90,/game/playstation-5/tony-hawks-pro-skater-1-+-2,22,7.2
2,Devil May Cry 5: Special Edition,"November 12, 2020",PlayStation 5,88,/game/playstation-5/devil-may-cry-5-special-edition,161,8.3
3,Disco Elysium: The Final Cut,"March 30, 2021",PlayStation 5,88,/game/playstation-5/disco-elysium-the-final-cut,58,7.2
4,It Takes Two,"March 26, 2021",PlayStation 5,88,/game/playstation-5/it-takes-two,319,9.2
5,Mortal Kombat 11 Ultimate,"November 17, 2020",PlayStation 5,88,/game/playstation-5/mortal-kombat-11-ultimate,92,7.7
6,The Nioh Collection,"February 5, 2021",PlayStation 5,88,/game/playstation-5/the-nioh-collection,62,7.4
7,Crash Bandicoot 4: It's About Time,"March 12, 2021",PlayStation 5,87,/game/playstation-5/crash-bandicoot-4-its-about-time,59,7.9
8,Yakuza: Like a Dragon,"March 2, 2021",PlayStation 5,86,/game/playstation-5/yakuza-like-a-dragon,30,7.9
9,Control: Ultimate Edition,"February 2, 2021",PlayStation 5,85,/game/playstation-5/control-ultimate-edition,117,7.4
10,Marvel's Spider-Man: Miles Morales,"November 12, 2020",PlayStation 5,85,/game/playstation-5/marvels-spider-man-miles-morales,1248,7.4
11,Warframe,"November 26, 2020",PlayStation 5,85,/game/playstation-5/warframe,5,7.2
12,Assassin's Creed Valhalla,"November 12, 2020",PlayStation 5,84,/game/playstation-5/assassins-creed-valhalla,997,8.0
13,Hitman 3,"January 20, 2021",PlayStation 5,84,/game/playstation-5/hitman-3,176,7.8
14,Overcooked! All You Can Eat,"November 12, 2020",PlayStation 5,84,/game/playstation-5/overcooked!-all-you-can-eat,11,6.3
15,The Pedestrian,"January 29, 2021",PlayStation 5,83,/game/playstation-5/the-pedestrian,7,7.7
16,Astro's Playroom,"November 12, 2020",PlayStation 5,83,/game/playstation-5/astros-playroom,794,9.3
17,Judgment,"April 23, 2021",PlayStation 5,83,/game/playstation-5/judgment,6,7.6
18,WRC 9 FIA World Rally Championship,"November 12, 2020",PlayStation 5,82,/game/playstation-5/wrc-9-fia-world-rally-championship,21,7.0
19,Planet Coaster: Console Edition,"November 12, 2020",PlayStation 5,81,/game/playstation-5/planet-coaster-console-edition,9,6.6
20,DIRT 5,"November 12, 2020",PlayStation 5,80,/game/playstation-5/dirt-5,49,5.6
21,Sackboy: A Big Adventure,"November 12, 2020",PlayStation 5,79,/game/playstation-5/sackboy-a-big-adventure,331,8.8
22,NBA 2K21,"November 12, 2020",PlayStation 5,79,/game/playstation-5/nba-2k21,115,2.7
23,MLB The Show 21,"April 16, 2021",PlayStation 5,78,/game/playstation-5/mlb-the-show-21,107,4.8
24,Atelier Ryza 2: Lost Legends & the Secret Fairy,"January 26, 2021",PlayStation 5,78,/game/playstation-5/atelier-ryza-2-lost-legends-the-secret-fairy,14,7.6
25,MotoGP 21,"April 22, 2021",PlayStation 5,78,/game/playstation-5/motogp-21,0,tbd
26,Cyber Shadow,"January 26, 2021",PlayStation 5,77,/game/playstation-5/cyber-shadow,10,6.7
27,Observer: System Redux,"November 12, 2020",PlayStation 5,77,/game/playstation-5/observer-system-redux,37,7.6
28,The Pathless,"November 12, 2020",PlayStation 5,77,/game/playstation-5/the-pathless,77,8.1
29,Immortals Fenyx Rising,"December 3, 2020",PlayStation 5,76,/game/playstation-5/immortals-fenyx-rising,279,7.6
30,Puyo Puyo Tetris 2,"December 8, 2020",PlayStation 5,76,/game/playstation-5/puyo-puyo-tetris-2,9,5.8
31,Call of Duty: Black Ops Cold War,"November 13, 2020",PlayStation 5,76,/game/playstation-5/call-of-duty-black-ops-cold-war,408,3.8
32,The Sinking City,"February 19, 2021",PlayStation 5,75,/game/playstation-5/the-sinking-city,9,6.4
33,Bugsnax,"November 12, 2020",PlayStation 5,75,/game/playstation-5/bugsnax,290,7.6
34,Outriders,"April 1, 2021",PlayStation 5,74,/game/playstation-5/outriders,366,6.0
35,FIFA 21 NXT LVL EDITION,"December 4, 2020",PlayStation 5,74,/game/playstation-5/fifa-21-nxt-lvl-edition,140,1.8
36,DARQ: Complete Edition,"March 25, 2021",PlayStation 5,74,/game/playstation-5/darq-complete-edition,0,tbd
37,Mortal Shell: Enhanced Edition,"March 4, 2021",PlayStation 5,73,/game/playstation-5/mortal-shell-enhanced-edition,26,7.4
38,Haven,"December 3, 2020",PlayStation 5,72,/game/playstation-5/haven,21,7.0
39,RIDE 4,"January 21, 2021",PlayStation 5,71,/game/playstation-5/ride-4,12,7.3
