,name,date,platform,score,url,ratings,userscore
0,The Legend of Zelda: Breath of the Wild,"March 3, 2017",Switch,97,/game/switch/the-legend-of-zelda-breath-of-the-wild,16753,8.7
1,Super Mario Odyssey,"October 27, 2017",Switch,97,/game/switch/super-mario-odyssey,5947,8.9
2,Divinity: Original Sin II - Definitive Edition,"September 4, 2019",Switch,93,/game/switch/divinity-original-sin-ii---definitive-edition,301,8.5
3,Hades,"September 17, 2020",Switch,93,/game/switch/hades,507,9.0
4,Ori and the Will of the Wisps,"September 17, 2020",Switch,93,/game/switch/ori-and-the-will-of-the-wisps,264,8.8
5,Undertale,"September 18, 2018",Switch,93,/game/switch/undertale,395,8.1
6,Super Smash Bros. Ultimate,"December 7, 2018",Switch,93,/game/switch/super-smash-bros-ultimate,3021,8.6
7,Celeste,"January 25, 2018",Switch,92,/game/switch/celeste,899,8.6
8,Bayonetta 2,"February 16, 2018",Switch,92,/game/switch/bayonetta-2,464,8.5
9,Mario Kart 8 Deluxe,"April 28, 2017",Switch,92,/game/switch/mario-kart-8-deluxe,2096,8.6
10,INSIDE,"June 28, 2018",Switch,91,/game/switch/inside,208,8.6
11,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,"September 27, 2019",Switch,91,/game/switch/dragon-quest-xi-s-echoes-of-an-elusive-age---definitive-edition,620,8.6
12,Sonic Mania Plus,"July 17, 2018",Switch,91,/game/switch/sonic-mania-plus,311,8.0
13,SteamWorld Heist: Ultimate Edition,"December 28, 2017",Switch,91,/game/switch/steamworld-heist-ultimate-edition,148,8.5
14,Shovel Knight: Treasure Trove,"March 3, 2017",Switch,91,/game/switch/shovel-knight-treasure-trove,449,8.2
15,Animal Crossing: New Horizons,"March 20, 2020",Switch,90,/game/switch/animal-crossing-new-horizons,6052,5.5
16,Ori and the Blind Forest: Definitive Edition,"September 27, 2019",Switch,90,/game/switch/ori-and-the-blind-forest-definitive-edition,325,8.6
17,Bastion,"September 13, 2018",Switch,90,/game/switch/bastion,108,7.7
18,Hollow Knight,"June 12, 2018",Switch,90,/game/switch/hollow-knight,1333,9.0
19,Bayonetta + Bayonetta 2,"February 16, 2018",Switch,90,/game/switch/bayonetta-+-bayonetta-2,355,8.7
20,Xenoblade Chronicles: Definitive Edition,"May 29, 2020",Switch,89,/game/switch/xenoblade-chronicles-definitive-edition,976,8.9
21,Dead Cells,"August 7, 2018",Switch,89,/game/switch/dead-cells,355,8.4
22,Into the Breach,"August 28, 2018",Switch,89,/game/switch/into-the-breach,148,7.9
23,Super Mario 3D World + Bowser's Fury,"February 12, 2021",Switch,89,/game/switch/super-mario-3d-world-+-bowsers-fury,368,8.5
24,Fire Emblem: Three Houses,"July 26, 2019",Switch,89,/game/switch/fire-emblem-three-houses,2402,8.7
25,Okami HD,"August 9, 2018",Switch,89,/game/switch/okami-hd,184,8.5
26,A Short Hike,"August 18, 2020",Switch,88,/game/switch/a-short-hike,115,8.7
27,Hyper Light Drifter,"September 6, 2018",Switch,88,/game/switch/hyper-light-drifter,96,7.8
28,What Remains of Edith Finch,"July 4, 2019",Switch,88,/game/switch/what-remains-of-edith-finch,87,7.8
29,Super Mario Maker 2,"June 28, 2019",Switch,88,/game/switch/super-mario-maker-2,798,8.5
30,Downwell,"January 31, 2019",Switch,88,/game/switch/downwell,91,7.3
31,Diablo III: Eternal Collection,"November 2, 2018",Switch,88,/game/switch/diablo-iii-eternal-collection,270,7.6
32,SteamWorld Dig 2,"September 21, 2017",Switch,88,/game/switch/steamworld-dig-2,328,8.6
33,Ikaruga,"May 29, 2018",Switch,88,/game/switch/ikaruga,59,7.7
34,Cave Story +,"June 20, 2017",Switch,88,/game/switch/cave-story-+,166,7.9
35,Monster Hunter Rise,"March 26, 2021",Switch,88,/game/switch/monster-hunter-rise,508,9.1
36,Stardew Valley,"October 5, 2017",Switch,87,/game/switch/stardew-valley,527,8.7
37,Cuphead,"April 17, 2019",Switch,87,/game/switch/cuphead,387,8.3
38,Astral Chain,"August 30, 2019",Switch,87,/game/switch/astral-chain,3302,8.9
39,Dragon Ball FighterZ,"September 28, 2018",Switch,87,/game/switch/dragon-ball-fighterz,161,7.8
40,Kentucky Route Zero: TV Edition,"January 28, 2020",Switch,87,/game/switch/kentucky-route-zero-tv-edition,68,7.3
41,Guacamelee! 2,"December 10, 2018",Switch,87,/game/switch/guacamelee!-2,57,8.5
42,Enter the Gungeon,"December 14, 2017",Switch,87,/game/switch/enter-the-gungeon,209,8.0
43,The Legend of Zelda: Link's Awakening,"September 20, 2019",Switch,87,/game/switch/the-legend-of-zelda-links-awakening,1262,8.4
44,Super Mega Baseball 3,"May 13, 2020",Switch,87,/game/switch/super-mega-baseball-3,28,7.8
45,Axiom Verge,"October 5, 2017",Switch,87,/game/switch/axiom-verge,127,8.4
46,Grindstone,"December 15, 2020",Switch,87,/game/switch/grindstone,14,8.1
47,Katamari Damacy REROLL,"December 7, 2018",Switch,87,/game/switch/katamari-damacy-reroll,86,8.3
48,Owlboy,"February 13, 2018",Switch,87,/game/switch/owlboy,163,7.3
49,Velocity 2X,"September 20, 2018",Switch,87,/game/switch/velocity-2x,28,8.0
50,Streets of Rage 4,"April 30, 2020",Switch,87,/game/switch/streets-of-rage-4,151,8.5
51,Iconoclasts,"August 2, 2018",Switch,87,/game/switch/iconoclasts,65,8.1
52,Rocket League,"November 14, 2017",Switch,86,/game/switch/rocket-league,330,7.8
53,The Messenger,"August 30, 2018",Switch,86,/game/switch/the-messenger,192,8.4
54,Donkey Kong Country: Tropical Freeze,"May 4, 2018",Switch,86,/game/switch/donkey-kong-country-tropical-freeze,627,8.6
55,Monster Boy and the Cursed Kingdom,"December 4, 2018",Switch,86,/game/switch/monster-boy-and-the-cursed-kingdom,124,8.3
56,Transistor,"November 1, 2018",Switch,86,/game/switch/transistor,67,8.3
57,Minecraft,"June 21, 2018",Switch,86,/game/switch/minecraft,293,7.5
58,Shantae and the Pirate's Curse,"March 20, 2018",Switch,86,/game/switch/shantae-and-the-pirates-curse,64,8.2
59,Guacamelee! Super Turbo Championship Edition,"October 8, 2018",Switch,86,/game/switch/guacamelee!-super-turbo-championship-edition,44,8.1
60,Star Wars Pinball,"September 13, 2019",Switch,86,/game/switch/star-wars-pinball,35,7.2
61,AI: The Somnium Files,"September 17, 2019",Switch,86,/game/switch/ai-the-somnium-files,513,8.8
62,Sid Meier's Civilization VI,"November 16, 2018",Switch,86,/game/switch/sid-meiers-civilization-vi,191,7.7
63,Atelier Mysterious Trilogy Deluxe Pack,"April 22, 2021",Switch,86,/game/switch/atelier-mysterious-trilogy-deluxe-pack,0,tbd
64,Crypt of the NecroDancer: Nintendo Switch Edition,"February 1, 2018",Switch,86,/game/switch/crypt-of-the-necrodancer-nintendo-switch-edition,85,7.2
65,Warframe,"November 20, 2018",Switch,86,/game/switch/warframe,110,8.3
66,Luigi's Mansion 3,"October 31, 2019",Switch,86,/game/switch/luigis-mansion-3,1060,8.5
67,Assault Android Cactus+,"March 8, 2019",Switch,86,/game/switch/assault-android-cactus+,34,8.4
68,Huntdown,"May 12, 2020",Switch,86,/game/switch/huntdown,55,8.4
69,BlazBlue: Central Fiction - Special Edition,"February 7, 2019",Switch,86,/game/switch/blazblue-central-fiction---special-edition,29,8.5
70,Sonic Mania,"August 15, 2017",Switch,86,/game/switch/sonic-mania,745,8.4
71,Mini Metro,"August 30, 2018",Switch,86,/game/switch/mini-metro,33,8.4
72,Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda,"June 13, 2019",Switch,85,/game/switch/cadence-of-hyrule-crypt-of-the-necrodancer-featuring-the-legend-of-zelda,291,8.1
73,Thumper,"May 18, 2017",Switch,85,/game/switch/thumper,98,8.1
74,Blaster Master Zero II,"March 20, 2019",Switch,85,/game/switch/blaster-master-zero-ii,35,8.5
75,Final Fantasy XII: The Zodiac Age,"April 30, 2019",Switch,85,/game/switch/final-fantasy-xii-the-zodiac-age,125,8.5
76,Slay the Spire,"June 6, 2019",Switch,85,/game/switch/slay-the-spire,74,8.3
77,Bug Fables: The Everlasting Sapling,"May 28, 2020",Switch,85,/game/switch/bug-fables-the-everlasting-sapling,96,8.3
78,Night in the Woods,"February 1, 2018",Switch,85,/game/switch/night-in-the-woods,138,7.5
79,The Binding of Isaac: Afterbirth +,"March 17, 2017",Switch,85,/game/switch/the-binding-of-isaac-afterbirth-+,276,8.3
80,The Witcher 3: Wild Hunt - Complete Edition,"October 15, 2019",Switch,85,/game/switch/the-witcher-3-wild-hunt---complete-edition,492,8.5
81,Two Point Hospital,"February 25, 2020",Switch,85,/game/switch/two-point-hospital,63,8.1
82,Pikmin 3 Deluxe,"October 30, 2020",Switch,85,/game/switch/pikmin-3-deluxe,137,8.4
83,Dragon Quest Builders 2,"July 12, 2019",Switch,85,/game/switch/dragon-quest-builders-2,167,8.3
84,Heroes of Hammerwatch - Ultimate Edition,"July 29, 2020",Switch,85,/game/switch/heroes-of-hammerwatch---ultimate-edition,10,7.3
85,West of Loathing,"May 31, 2018",Switch,85,/game/switch/west-of-loathing,58,8.0
86,Tangle Tower,"October 22, 2019",Switch,85,/game/switch/tangle-tower,19,8.2
87,Steins;Gate Elite,"February 19, 2019",Switch,85,/game/switch/steinsgate-elite,63,7.8
88,Darkest Dungeon,"January 18, 2018",Switch,85,/game/switch/darkest-dungeon,135,8.0
89,Mutant Mudds Collection,"December 14, 2017",Switch,85,/game/switch/mutant-mudds-collection,33,8.3
90,NeuroVoider,"September 7, 2017",Switch,85,/game/switch/neurovoider,38,8.0
91,Final Fantasy X / X-2 HD Remaster,"April 16, 2019",Switch,85,/game/switch/final-fantasy-x-x-2-hd-remaster,119,7.6
92,Mario + Rabbids: Kingdom Battle,"August 29, 2017",Switch,85,/game/switch/mario-+-rabbids-kingdom-battle,1135,8.4
93,Disgaea 4 Complete+,"October 29, 2019",Switch,85,/game/switch/disgaea-4-complete+,27,7.4
94,Keep Talking and Nobody Explodes,"August 16, 2018",Switch,84,/game/switch/keep-talking-and-nobody-explodes,11,7.9
95,Shantae: Half-Genie Hero - Ultimate Edition,"May 8, 2018",Switch,84,/game/switch/shantae-half-genie-hero---ultimate-edition,81,8.2
96,Lonely Mountains: Downhill,"May 7, 2020",Switch,84,/game/switch/lonely-mountains-downhill,47,7.4
97,Thronebreaker: The Witcher Tales,"January 28, 2020",Switch,84,/game/switch/thronebreaker-the-witcher-tales,72,7.7
98,Valkyria Chronicles,"October 16, 2018",Switch,84,/game/switch/valkyria-chronicles,58,8.7
99,Shovel Knight: Specter of Torment,"March 3, 2017",Switch,84,/game/switch/shovel-knight-specter-of-torment,128,8.0
100,80 DAYS,"October 1, 2019",Switch,84,/game/switch/80-days,10,7.8
101,WHAT THE GOLF?,"May 21, 2020",Switch,84,/game/switch/what-the-golf,44,8.2
102,VA-11 Hall-A: Cyberpunk Bartender Action,"May 2, 2019",Switch,84,/game/switch/va-11-hall-a-cyberpunk-bartender-action,59,8.2
103,Toki Tori 2 +,"February 23, 2018",Switch,84,/game/switch/toki-tori-2-+,23,8.0
104,Bayonetta,"February 16, 2018",Switch,84,/game/switch/bayonetta,202,8.3
105,Mega Man X Legacy Collection,"July 24, 2018",Switch,84,/game/switch/mega-man-x-legacy-collection,82,8.6
106,Rayman Legends: Definitive Edition,"September 12, 2017",Switch,84,/game/switch/rayman-legends-definitive-edition,216,8.4
107,The Elder Scrolls V: Skyrim,"November 17, 2017",Switch,84,/game/switch/the-elder-scrolls-v-skyrim,566,8.4
108,Kingdom: Two Crowns,"December 11, 2018",Switch,84,/game/switch/kingdom-two-crowns,29,7.1
109,Child of Light,"October 11, 2018",Switch,84,/game/switch/child-of-light,81,8.4
110,Wargroove,"February 1, 2019",Switch,84,/game/switch/wargroove,166,7.3
111,Lovers in a Dangerous Spacetime,"October 3, 2017",Switch,84,/game/switch/lovers-in-a-dangerous-spacetime,51,8.0
112,BioShock: The Collection,"May 29, 2020",Switch,84,/game/switch/bioshock-the-collection,117,8.6
113,"Snipperclips Plus: Cut It Out, Together!","November 10, 2017",Switch,84,/game/switch/snipperclips-plus-cut-it-out-together!,85,8.1
114,Atelier Ryza: Ever Darkness & the Secret Hideout,"October 29, 2019",Switch,84,/game/switch/atelier-ryza-ever-darkness-the-secret-hideout,87,8.1
115,Danmaku Unlimited 3,"March 13, 2018",Switch,84,/game/switch/danmaku-unlimited-3,25,8.0
116,Sega Ages: Fantasy Zone,"January 23, 2020",Switch,84,/game/switch/sega-ages-fantasy-zone,12,7.9
117,Baba Is You,"March 13, 2019",Switch,84,/game/switch/baba-is-you,93,8.0
118,Sayonara Wild Hearts,"September 19, 2019",Switch,84,/game/switch/sayonara-wild-hearts,72,8.2
119,Timespinner,"June 4, 2019",Switch,84,/game/switch/timespinner,35,7.3
120,Ape Out,"February 28, 2019",Switch,84,/game/switch/ape-out,87,6.4
121,To the Moon,"January 16, 2020",Switch,84,/game/switch/to-the-moon,50,8.2
122,Sega Ages: OutRun,"January 10, 2019",Switch,84,/game/switch/sega-ages-outrun,28,7.8
123,The Legend of Heroes: Trails of Cold Steel III,"June 30, 2020",Switch,84,/game/switch/the-legend-of-heroes-trails-of-cold-steel-iii,36,8.1
124,Super Meat Boy,"January 11, 2018",Switch,84,/game/switch/super-meat-boy,79,8.1
125,Ni no Kuni: Wrath of the White Witch,"September 20, 2019",Switch,84,/game/switch/ni-no-kuni-wrath-of-the-white-witch,100,8.1
126,World of Goo,"March 16, 2017",Switch,84,/game/switch/world-of-goo,92,7.6
127,Just Shapes & Beats,"May 31, 2018",Switch,83,/game/switch/just-shapes-beats,54,8.6
128,Lumines Remastered,"June 26, 2018",Switch,83,/game/switch/lumines-remastered,29,8.3
129,Fortnite,"June 12, 2018",Switch,83,/game/switch/fortnite,610,4.9
130,Tetris 99,"February 13, 2019",Switch,83,/game/switch/tetris-99,253,8.2
131,Tales of Vesperia: Definitive Edition,"January 11, 2019",Switch,83,/game/switch/tales-of-vesperia-definitive-edition,151,7.8
132,Alien: Isolation,"December 5, 2019",Switch,83,/game/switch/alien-isolation,76,8.5
133,Mega Man Legacy Collection,"May 22, 2018",Switch,83,/game/switch/mega-man-legacy-collection,81,8.5
134,Ring Fit Adventure,"October 18, 2019",Switch,83,/game/switch/ring-fit-adventure,226,8.6
135,Duck Game,"May 1, 2019",Switch,83,/game/switch/duck-game,34,8.0
136,Splatoon 2,"July 21, 2017",Switch,83,/game/switch/splatoon-2,1262,8.4
137,Knights and Bikes,"February 6, 2020",Switch,83,/game/switch/knights-and-bikes,12,8.3
138,Shovel Knight: King of Cards,"December 10, 2019",Switch,83,/game/switch/shovel-knight-king-of-cards,28,7.9
139,The Banner Saga 3,"July 26, 2018",Switch,83,/game/switch/the-banner-saga-3,28,8.4
140,Octopath Traveler,"July 12, 2018",Switch,83,/game/switch/octopath-traveler,1190,8.5
141,Mega Man Zero / ZX Legacy Collection,"February 25, 2020",Switch,83,/game/switch/mega-man-zero-zx-legacy-collection,108,8.5
142,OlliOlli: Switch Stance,"February 14, 2019",Switch,83,/game/switch/olliolli-switch-stance,11,7.8
143,Moonlighter,"November 5, 2018",Switch,83,/game/switch/moonlighter,103,8.0
144,GRIS,"December 13, 2018",Switch,83,/game/switch/gris,303,8.6
145,UnderMine,"February 11, 2021",Switch,83,/game/switch/undermine,7,8.3
146,LIMBO,"June 28, 2018",Switch,83,/game/switch/limbo,60,8.5
147,Xenoblade Chronicles 2,"December 1, 2017",Switch,83,/game/switch/xenoblade-chronicles-2,2044,8.7
148,Dark Souls Remastered,"October 19, 2018",Switch,83,/game/switch/dark-souls-remastered,286,8.0
149,Collection of Mana,"June 11, 2019",Switch,83,/game/switch/collection-of-mana,43,8.2
150,Overcooked! 2: Surf 'n' Turf,"October 3, 2018",Switch,83,/game/switch/overcooked!-2-surf-n-turf,7,8.4
151,Chicken Police - Paint it RED!,"November 5, 2020",Switch,83,/game/switch/chicken-police---paint-it-red!,0,tbd
152,Sega Ages: Sonic the Hedgehog 2,"February 20, 2020",Switch,83,/game/switch/sega-ages-sonic-the-hedgehog-2,10,8.0
153,Gorogoa,"December 14, 2017",Switch,83,/game/switch/gorogoa,54,7.9
154,Katana ZERO,"April 17, 2019",Switch,83,/game/switch/katana-zero,204,8.7
155,Killer Queen Black,"October 11, 2019",Switch,83,/game/switch/killer-queen-black,53,8.2
156,Splasher,"October 26, 2017",Switch,83,/game/switch/splasher,26,8.2
157,Dynasty Warriors 8: Xtreme Legends - Definitive Edition,"December 27, 2018",Switch,83,/game/switch/dynasty-warriors-8-xtreme-legends---definitive-edition,20,8.5
158,The Last Campfire,"August 27, 2020",Switch,83,/game/switch/the-last-campfire,32,7.8
159,Flipping Death,"August 7, 2018",Switch,83,/game/switch/flipping-death,27,7.9
160,Worms W.M.D,"November 23, 2017",Switch,83,/game/switch/worms-wmd,45,7.8
161,Code:Realize - Guardian of Rebirth,"February 6, 2020",Switch,83,/game/switch/coderealize---guardian-of-rebirth,15,6.8
162,Reventure,"October 8, 2019",Switch,83,/game/switch/reventure,12,7.8
163,Yoku's Island Express,"May 29, 2018",Switch,82,/game/switch/yokus-island-express,94,8.6
164,Pinball FX3,"December 12, 2017",Switch,82,/game/switch/pinball-fx3,51,7.8
165,Spiritfarer,"August 18, 2020",Switch,82,/game/switch/spiritfarer,54,8.2
166,Flat Heroes,"August 2, 2018",Switch,82,/game/switch/flat-heroes,14,8.3
167,Horizon Chase Turbo,"November 28, 2018",Switch,82,/game/switch/horizon-chase-turbo,57,8.2
168,CrossCode,"July 9, 2020",Switch,82,/game/switch/crosscode,49,8.1
169,Ruiner,"June 18, 2020",Switch,82,/game/switch/ruiner,11,8.3
170,Mario + Rabbids: Kingdom Battle - Donkey Kong Adventure,"June 26, 2018",Switch,82,/game/switch/mario-+-rabbids-kingdom-battle---donkey-kong-adventure,76,8.2
171,Tadpole Treble Encore,"January 21, 2021",Switch,82,/game/switch/tadpole-treble-encore,6,7.8
172,Valkyria Chronicles 4,"September 25, 2018",Switch,82,/game/switch/valkyria-chronicles-4,137,8.6
173,Super Mario 3D All-Stars,"September 18, 2020",Switch,82,/game/switch/super-mario-3d-all-stars,668,6.3
174,Sega Ages: Virtua Racing,"June 27, 2019",Switch,82,/game/switch/sega-ages-virtua-racing,15,8.3
175,Bloodstained: Curse of the Moon 2,"July 10, 2020",Switch,82,/game/switch/bloodstained-curse-of-the-moon-2,31,8.4
176,No More Heroes,"October 28, 2020",Switch,82,/game/switch/no-more-heroes,32,8.7
177,Little Nightmares II,"February 11, 2021",Switch,82,/game/switch/little-nightmares-ii,60,7.9
178,Under Night In-Birth Exe:Late[cl-r],"February 20, 2020",Switch,82,/game/switch/under-night-in-birth-exelatecl-r,31,7.6
179,Terraria,"June 27, 2019",Switch,82,/game/switch/terraria,69,8.4
180,Swords & Soldiers II: Shawarmageddon,"March 1, 2019",Switch,82,/game/switch/swords-soldiers-ii-shawarmageddon,11,8.0
181,Salt and Sanctuary,"August 2, 2018",Switch,82,/game/switch/salt-and-sanctuary,51,7.7
182,Horace,"October 21, 2020",Switch,82,/game/switch/horace,30,7.5
183,Hotline Miami Collection,"August 19, 2019",Switch,82,/game/switch/hotline-miami-collection,26,8.0
184,Ys Origin,"October 1, 2020",Switch,82,/game/switch/ys-origin,22,8.1
185,Vectronom,"May 29, 2019",Switch,82,/game/switch/vectronom,7,8.4
186,Slime-san,"June 8, 2017",Switch,82,/game/switch/slime-san,42,8.4
187,SOLAS 128,"January 25, 2021",Switch,82,/game/switch/solas-128,0,tbd
188,Borderlands Legendary Collection,"May 29, 2020",Switch,82,/game/switch/borderlands-legendary-collection,61,8.3
189,Devil May Cry 3: Special Edition,"February 20, 2020",Switch,82,/game/switch/devil-may-cry-3-special-edition,81,8.1
190,Splatoon 2: Octo Expansion,"June 13, 2018",Switch,82,/game/switch/splatoon-2-octo-expansion,208,8.4
191,Bloodstained: Curse of the Moon,"May 24, 2018",Switch,82,/game/switch/bloodstained-curse-of-the-moon,147,8.4
